Yloc,Xloc,Count
-37.80914102,144.96068518,2
-33.90628789,151.21318262,2
-33.82924,151.22858,2
-35.3,149.117,2
-37.82034993,144.9997396,2
-27.47838504,153.00628484,2
-37.76,145.007,2
-37.83056345,144.96747838,2
-35.3217,149.163,2
-33.9133,151.173,2
-37.816,144.968,2
-34.92338073,138.59399647,2
-37.91801347,144.98701862,2
-37.81788183,144.96841506,2
-33.90564,151.1654,2
-37.81044,144.9711,2
-27.49692541,153.03417969,2
-33.844063,151.212785,2
-33.8283048,151.2437577,2
-33.85041015,151.06719859,2
-38.1,145.183,2
-33.88396364,151.2005486,2
-31.95,115.85,2
-33.86071818,151.20851104,2
-33.89664177,151.17429058,2
-27.46857254,153.02396385,2
-37.8167,144.967,2
-37.8333,144.933,2
-37.77994128,144.97693777,2
-33.87265592,151.21551454,2
-34.8190384,138.6368866,2
-31.9513272,115.8902508,2
-33.7544,151.285,2
-33.7295143,151.284197,2
-37.80995348,145.00566959,2
-33.83377994,151.05690876,2
-33.7333,151.3,2
-33.93241539,151.17919028,2
-27.37189109,153.09330679,2
-34.92609,138.60111,2
-38.13333333,145.16666667,2
-33.8632679,151.2017887,2
-37.92388861,145.02210617,2
-33.92029,151.2436,2
-37.82965733,144.97290729,2
-37.7833,144.917,2
-33.9167,151.267,2
-37.8586884,144.9841156,2
-37.822222,144.987778,2
-33.8402735,151.20740818,2
-32.0400414,115.9275821,2
-34.90793881,138.57395086,2
-27.478885,153.02306,2
-27.34223605,153.07046132,2
-33.8458,151.213,2
-37.7993499,144.98645,2
-33.8636629,151.20886803,2
-35.282,149.128684,2
-37.86293,145.28508,2
-33.89253753,151.24944188,2
-27.45789,153.03576,2
-33.63702,151.32991,2
-37.8279,145.3535,2
-33.8797,151.216,2
-31.662778,115.789722,2
-33.8833,151.1,2
-37.81158,144.96896,2
-27.4700823,153.02647172,2
-33.86532884,151.20545626,2
-33.868611,151.154722,2
-33.8333,150.983,2
-33.73122281,151.0056985,2
-37.80287,144.9499,2
-37.81821,144.96188,2
-31.95307256,115.89241505,2
-27.4753,153.021,2
-34.90686,138.60818,1
-31.952919,115.85554,1
-27.47879048,153.01336751,1
-37.79882,145.25226,1
-33.82073436,151.18561737,1
-34.9167,138.65,1
-33.8700818,151.1891903,1
-33.87030412,151.2084712,1
-33.764984,150.77446,1
-27.46705649,153.02050023,1
-33.89334,151.20461,1
-27.46765976,153.02938223,1
-33.967192,151.231245,1
-35.2817183,149.1341055,1
-37.95231736,145.01364715,1
-37.91849,145.04021,1
-27.462,153.075,1
-37.76486,144.96273,1
-33.87306,151.20491,1
-37.8078583,144.9628425,1
-27.454522,153.04797642,1
-33.89298,151.20362,1
-33.9639,151.25234,1
-37.80643149,144.9900645,1
-33.95681724,151.23002252,1
-33.79547045,151.1838851,1
-37.81056584,144.96145975,1
-37.81449302,145.22620342,1
-33.8827,151.2254,1
-37.81607312,144.96745348,1
-33.92233,151.22701,1
-33.8659,151.20964,1
-34.9262,138.59542,1
-33.84828264,151.21210854,1
-37.8483968,145.07987591,1
-35.2775,149.132,1
-34.05,151.133,1
-27.47145228,153.02543998,1
-33.84934,151.04875,1
-31.956322,115.858738,1
-37.7833,144.833,1
-33.89682,151.21267,1
-37.87103,144.83733,1
-42.8805,147.32749,1
-34.79632437,138.61168281,1
-34.95772131,138.50601347,1
-31.9408302,115.8354034,1
-38.35869946,144.77281351,1
-33.88232513,151.20196942,1
-33.798094,151.182655,1
-31.95053089,115.86055749,1
-38.00552385,145.25855211,1
-33.9086291,151.1548847,1
-33.9974443,151.06969555,1
-33.8,150.95,1
-33.94063089,151.23882902,1
-37.8263,145.007,1
-37.8197,145.03567,1
-37.81733047,144.95600361,1
-33.857355,151.1504923,1
-34.81109025,138.61664772,1
-37.7615508,144.91375613,1
-34.92727,138.6028399,1
-27.45348002,153.06980293,1
-33.73882705,151.30698561,1
-27.48603532,153.03491056,1
-37.93475,145.03727,1
-31.95098,115.87925,1
-42.875,147.3682,1
-42.88272,147.32714,1
-33.9167,151.2667,1
-37.7980385,144.9676666,1
-33.87478043,151.21120691,1
-37.831878,144.910925,1
-33.80579,150.93738,1
-33.8211361,151.0066927,1
-37.81883329,144.96923615,1
-33.89597812,151.22511148,1
-33.89507923,151.18146903,1
-27.48588785,153.03783797,1
-37.85262,145.15006,1
-33.91257877,151.15268125,1
-37.75510979,144.81889271,1
-37.945,145,1
-27.4706,153.017,1
-37.81399365,144.95365205,1
-37.8038249,144.9773368,1
-37.8171,144.95858,1
-33.72266,151.13457,1
-33.89188,151.2141399,1
-27.38631195,153.11947076,1
-33.87692,151.2080499,1
-35.237,149.065,1
-37.816954,144.958631,1
-34.05668261,150.69364764,1
-37.79871,144.98036,1
-31.94556,115.86918,1
-27.31799939,153.07238605,1
-34.92349,138.5943,1
-42.88725587,147.33308359,1
-33.88699,151.2073,1
-37.75583489,145.06106677,1
-33.93206779,151.17833411,1
-33.884514,151.19624,1
-37.806209,144.977232,1
-33.93532238,151.16663575,1
-32.0993,115.819,1
-33.87215914,151.09372256,1
-34.9271,138.60898,1
-33.91801635,151.2273109,1
-34.97410111,138.5738574,1
-37.69448965,145.01194533,1
-33.87924235,151.2093127,1
-32.0000767,115.9847875,1
-37.8973299,145.00217,1
-37.8138999,144.96214,1
-33.94868,151.25723,1
-37.99503351,145.17347261,1
-33.97202619,151.12900138,1
-33.87289595,151.19203177,1
-33.919722,150.930278,1
-34.92617,138.61071,1
-37.79994098,144.99299703,1
-37.8101642,144.96633637,1
-27.45214259,153.00596915,1
-37.82175313,145.03839891,1
-37.81057,144.96641,1
-33.95263,151.13684,1
-33.8902661,151.17618774,1
-37.7167,145,1
-37.8399324,144.8559062,1
-37.81588188,144.96796956,1
-33.8769698,151.20613442,1
-33.89752,151.17937,1
-33.8891782,151.2743738,1
-37.81747491,144.95599744,1
-32.05999646,115.77760346,1
-38.00947731,145.0856008,1
-27.47699,153.01304,1
-37.7542,145.001,1
-33.88998,151.2744899,1
-37.90434,144.99451,1
-33.76224,150.66504,1
-31.99583,115.7506,1
-33.94998,151.203204,1
-37.88736902,145.08382702,1
-37.84094788,145.00807214,1
-37.8206,144.9069,1
-37.8175145,144.9689923,1
-27.45074,153.05282,1
-33.76351,151.27104,1
