Hour,SentimentBand,Count,Total
11,-35,72204,4902250
11,-30,65870,4902250
11,-25,86717,4902250
11,-20,58371,4902250
11,-15,40344,4902250
11,-10,44809,4902250
11,-5,40492,4902250
11,0,2062452,4902250
11,5,31782,4902250
11,10,52490,4902250
11,15,41531,4902250
11,20,59160,4902250
11,25,87619,4902250
11,30,85573,4902250
11,35,112864,4902250
11,40,170148,4902250
11,45,163237,4902250
11,50,134634,4902250
11,55,121990,4902250
11,60,153502,4902250
11,65,139917,4902250
11,70,108282,4902250
11,75,115596,4902250
11,80,106460,4902250
11,85,104414,4902250
11,90,82976,4902250
11,95,49329,4902250
11,100,8638,4902250
12,-95,652,4863460
12,-90,6212,4863460
12,-85,19513,4863460
12,-80,25869,4863460
12,-75,33163,4863460
12,-70,39254,4863460
12,-65,44317,4863460
12,-60,50408,4863460
12,-55,58077,4863460
12,-50,83469,4863460
12,-45,81906,4863460
12,-40,50927,4863460
12,-35,71119,4863460
12,-30,65664,4863460
12,-25,86493,4863460
12,-20,58536,4863460
12,-15,40177,4863460
12,-10,44767,4863460
12,-5,39995,4863460
12,0,2067020,4863460
12,5,31975,4863460
12,10,52273,4863460
12,15,40662,4863460
12,20,58754,4863460
12,25,85940,4863460
12,30,83421,4863460
12,35,110052,4863460
12,40,167359,4863460
12,45,160700,4863460
12,50,131537,4863460
12,55,120298,4863460
12,60,150053,4863460
12,65,137277,4863460
12,70,106628,4863460
12,75,112881,4863460
12,80,103491,4863460
12,85,102185,4863460
12,90,82277,4863460
12,95,49589,4863460
12,100,8570,4863460
13,-95,690,4653996
13,-90,6023,4653996
13,-85,18899,4653996
13,-80,24428,4653996
13,-75,31847,4653996
13,-70,37441,4653996
13,-65,41991,4653996
13,-60,48564,4653996
13,-55,54773,4653996
13,-50,79549,4653996
13,-45,77722,4653996
13,-40,48325,4653996
13,-35,67587,4653996
13,-30,61775,4653996
13,-25,83695,4653996
13,-20,55430,4653996
13,-15,37498,4653996
13,-10,43251,4653996
13,-5,38048,4653996
13,0,1999991,4653996
13,5,29738,4653996
13,10,49664,4653996
13,15,38553,4653996
13,20,55238,4653996
13,25,81958,4653996
13,30,78911,4653996
13,35,104540,4653996
13,40,157713,4653996
13,45,153503,4653996
13,50,123573,4653996
13,55,112227,4653996
13,60,142828,4653996
13,65,129584,4653996
13,70,101282,4653996
13,75,107476,4653996
13,80,98037,4653996
13,85,98672,4653996
13,90,77556,4653996
13,95,47163,4653996
13,100,8253,4653996
14,-95,705,4524385
14,-90,5620,4524385
14,-85,18242,4524385
14,-80,23032,4524385
14,-75,30086,4524385
14,-70,35166,4524385
14,-65,39643,4524385
14,-60,46025,4524385
14,-55,51973,4524385
14,-50,77750,4524385
14,-45,74890,4524385
14,-40,45612,4524385
14,-35,64088,4524385
14,-30,58695,4524385
14,-25,80336,4524385
14,-20,54129,4524385
14,-15,36022,4524385
14,-10,42270,4524385
14,-5,36944,4524385
14,0,1970035,4524385
14,5,28165,4524385
14,10,47571,4524385
14,15,36232,4524385
14,20,53803,4524385
14,25,78819,4524385
14,30,76836,4524385
14,35,102615,4524385
14,40,151873,4524385
14,45,149185,4524385
14,50,119772,4524385
14,55,109069,4524385
14,60,137125,4524385
14,65,124741,4524385
14,70,97026,4524385
14,75,102833,4524385
14,80,94765,4524385
14,85,94264,4524385
14,90,75157,4524385
14,95,45348,4524385
14,100,7923,4524385
15,-95,659,4403190
15,-90,5296,4403190
15,-85,17880,4403190
15,-80,22560,4403190
15,-75,29060,4403190
15,-70,34894,4403190
15,-65,38760,4403190
15,-60,44561,4403190
15,-55,50980,4403190
15,-50,73417,4403190
15,-45,73276,4403190
15,-40,44757,4403190
15,-35,62935,4403190
15,-30,57569,4403190
15,-25,77227,4403190
15,-20,52498,4403190
15,-15,34072,4403190
15,-10,41157,4403190
15,-5,35211,4403190
15,0,1921368,4403190
15,5,28238,4403190
15,10,45672,4403190
15,15,35398,4403190
15,20,52280,4403190
15,25,76517,4403190
15,30,74779,4403190
15,35,99926,4403190
15,40,148586,4403190
15,45,144982,4403190
15,50,117176,4403190
15,55,106653,4403190
15,60,134728,4403190
15,65,120603,4403190
15,70,94223,4403190
15,75,100207,4403190
15,80,91769,4403190
15,85,90144,4403190
15,90,71740,4403190
15,95,43665,4403190
15,100,7767,4403190
16,-95,628,4333981
16,-90,5298,4333981
16,-85,17889,4333981
16,-80,22809,4333981
16,-75,28545,4333981
16,-70,33684,4333981
16,-65,38156,4333981
16,-60,43864,4333981
16,-55,50183,4333981
16,-50,73121,4333981
16,-45,72711,4333981
16,-40,45406,4333981
16,-35,63452,4333981
16,-30,57420,4333981
16,-25,77545,4333981
16,-20,51761,4333981
16,-15,34465,4333981
16,-10,40781,4333981
16,-5,35779,4333981
16,0,1869790,4333981
16,5,28640,4333981
16,10,46298,4333981
16,15,35255,4333981
16,20,51748,4333981
16,25,76133,4333981
16,30,74401,4333981
16,35,98450,4333981
16,40,146939,4333981
16,45,143628,4333981
16,50,117237,4333981
16,55,104312,4333981
16,60,135437,4333981
16,65,119628,4333981
16,70,92976,4333981
16,75,99511,4333981
16,80,90551,4333981
16,85,88719,4333981
16,90,71807,4333981
16,95,41635,4333981
16,100,7389,4333981
17,-95,647,4302299
17,-90,5352,4302299
17,-85,18657,4302299
17,-80,24075,4302299
17,-75,29121,4302299
17,-70,34059,4302299
17,-65,38704,4302299
17,-60,44153,4302299
17,-55,52301,4302299
17,-50,73278,4302299
17,-45,71959,4302299
17,-40,46018,4302299
17,-35,62552,4302299
17,-30,57891,4302299
17,-25,77466,4302299
17,-20,51654,4302299
17,-15,34801,4302299
17,-10,41560,4302299
17,-5,36040,4302299
17,0,1839127,4302299
17,5,28178,4302299
17,10,46777,4302299
17,15,35344,4302299
17,20,52279,4302299
17,25,75048,4302299
17,30,75112,4302299
17,35,98688,4302299
17,40,146548,4302299
17,45,143026,4302299
17,50,116588,4302299
17,55,104526,4302299
17,60,133539,4302299
17,65,119619,4302299
17,70,92420,4302299
17,75,98297,4302299
17,80,89308,4302299
17,85,89036,4302299
17,90,70330,4302299
17,95,41070,4302299
17,100,7151,4302299
18,-95,643,4272289
