RegionId,Name,Observations,Sum,Sentiment
206071145,"Yarra - North",200,7480.99,37.40
207031161,"Blackburn",106,5456.14,51.47
206031113,"Ascot Vale",56,2380.77,42.51
203031051,"Portarlington",53,2300.26,43.40
209021428,"Preston - East",642,18131.87,28.24
203021043,"Lara",160,6654.62,41.59
206041124,"Parkville",568,19272.10,33.93
209041225,"Whittlesea",35,526.54,15.04
211011447,"Ferntree Gully (North)",135,1558.05,11.54
119041376,"Bexley",55,2411.26,43.84
126011496,"Pennant Hills - Cheltenham",88,3881.96,44.11
301021011,"Sheldon - Mount Cotton",165,6540.26,39.64
309071255,"Ormeau - Yatala",209,10029.63,47.99
314011387,"Samford Valley",140,6019.78,43.00
303021052,"Annerley",156,5538.96,35.51
117011322,"Mascot - Eastlakes",485,15515.44,31.99
304041100,"Keperra",8,55.93,6.99
303041068,"Moorooka",36,1365.05,37.92
213051368,"Werribee - South",217,9507.31,43.81
123031446,"Douglas Park - Appin",26,420.33,16.17
102011028,"Avoca Beach - Copacabana",76,4237.75,55.76
127021513,"Canley Vale - Canley Heights",60,2977.77,49.63
126021500,"Macquarie Park - Marsfield",408,16077.03,39.40
124031464,"Penrith",483,21231.83,43.96
128021607,"Engadine",31,1347.66,43.47
115011291,"Baulkham Hills (West) - Bella Vista",248,11977.02,48.29
213031349,"Maribyrnong",175,7439.43,42.51
213051369,"Wyndham Vale",47,1764.30,37.54
211041270,"Mitcham (Vic.)",33,1169.29,35.43
208021179,"Elsternwick",200,8164.13,40.82
211021262,"Warrandyte - Wonga Park",110,6071.45,55.20
209041432,"Epping - South",115,4316.73,37.54
211031266,"Ringwood",327,12431.69,38.02
213051466,"Point Cook - South",89,2081.49,23.39
506061143,"Mundijong",42,1678.65,39.97
206051134,"St Kilda East",284,12227.38,43.05
206051129,"Elwood",293,10478.37,35.76
208021177,"Caulfield - North",248,11786.23,47.53
206041120,"Flemington Racecourse",465,21517.21,46.27
212041311,"Dandenong",275,9968.39,36.25
304041102,"Mount Coot-tha",202,9979.92,49.41
206041125,"South Yarra - West",189,8379.19,44.33
206071140,"Carlton North - Princes Hill",298,14503.09,48.67
212031306,"Lynbrook - Lyndhurst",26,1518.06,58.39
212021294,"Berwick - South",38,1136.10,29.90
213011337,"Sunshine North",107,5625.80,52.58
213031351,"West Footscray - Tottenham",98,1882.01,19.20
117021326,"Marrickville",1066,34311.95,32.19
212041314,"Keysborough",79,2833.42,35.87
213051362,"Hoppers Crossing - South",125,5816.12,46.53
211051286,"Yarra Valley",67,3087.65,46.08
209031215,"Wattle Glen - Diamond Creek",87,3457.79,39.74
206011106,"Brunswick East",760,27963.59,36.79
127031524,"Holsworthy - Wattle Grove",74,3263.93,44.11
404011092,"Henley Beach",483,27232.10,56.38
401011002,"North Adelaide",1018,45869.26,45.06
212021297,"Hallam",38,1434.76,37.76
213021343,"Altona North",66,1485.85,22.51
206051131,"Port Melbourne Industrial",291,11935.26,41.01
209041435,"South Morang (North)",223,2493.28,11.18
123021437,"Campbelltown - Woodbine",203,7866.51,38.75
120031392,"Canterbury (North) - Ashbury",38,1438.77,37.86
128021535,"Menai - Lucas Heights - Woronora",113,5722.17,50.64
120031391,"Burwood - Croydon",188,7516.19,39.98
119041380,"Monterey - Brighton-le-Sands - Kyeemagh",103,4960.88,48.16
117031332,"Newtown - Camperdown - Darlington",1756,74250.53,42.28
126021501,"North Ryde - East Ryde",616,25509.03,41.41
601021007,"Howrah - Tranmere",311,13184.31,42.39
504011047,"Morley",127,5199.16,40.94
507031169,"Bertram - Wellard (West)",43,2129.53,49.52
313021365,"Caboolture",138,7346.27,53.23
305011111,"Spring Hill",202,9345.31,46.26
310021280,"Lockyer Valley - East",38,2286.07,60.16
314011384,"Dayboro",136,6187.00,45.49
305031124,"Hamilton (Qld)",110,4974.93,45.23
303011047,"Camp Hill",55,2554.55,46.45
301021013,"Victoria Point",256,16703.04,65.25
313051378,"Margate - Woody Point",84,4635.87,55.19
211051279,"Monbulk - Silvan",100,4346.47,43.46
211031450,"Croydon - East",227,6338.69,27.92
119031373,"Riverwood",43,1806.35,42.01
118011341,"Bondi Junction - Waverly",876,34852.46,39.79
120021389,"Lilyfield - Rozelle",702,29508.28,42.03
403031068,"Colonel Light Gardens",70,3618.19,51.69
402021029,"Davoren Park",385,10674.48,27.73
404021102,"The Parks",76,3197.63,42.07
401071024,"Unley - Parkside",510,28943.94,56.75
214021380,"Mornington",404,17667.78,43.73
210011229,"Keilor East",199,5038.12,25.32
208041194,"Malvern - Glen Iris",189,8123.26,42.98
125021477,"Ermington - Rydalmere",139,5298.56,38.12
128011531,"Sylvania - Taren Point",135,7735.43,57.30
119011360,"Revesby",21,1013.40,48.26
119011359,"Panania - Milperra - Picnic Point",75,3728.04,49.71
120031394,"Dulwich Hill - Lewisham",256,12282.76,47.98
309041242,"Tamborine - Canungra",83,3984.87,48.01
124011454,"Springwood - Winmalee",71,2031.60,28.61
207031165,"Burwood",147,4490.56,30.55
213041463,"Caroline Springs",68,3929.86,57.79
213031352,"Yarraville",450,17886.88,39.75
211031268,"Ringwood North",25,934.31,37.37
214011375,"Seaford (Vic.)",165,5940.33,36.00
213041359,"Rockbank - Mount Cottrell",61,1556.95,25.52
208021426,"Bentleigh East (North)",115,4480.74,38.96
213031348,"Footscray",651,23529.23,36.14
213031347,"Braybrook",187,7694.62,41.15
124031457,"Cambridge Park",28,1176.71,42.03
125041489,"North Parramatta",251,11269.86,44.90
119031369,"Mortdale - Penshurst",125,4075.00,32.60
125011582,"Auburn - Central",133,5638.02,42.39
122031427,"Forestville - Killarney Heights",122,5075.85,41.61
124041468,"Yarramundi - Londonderry",42,-487.90,-11.62
121031411,"Turramurra",88,2589.19,29.42
121041413,"Cremorne - Cammeray",167,7239.51,43.35
107041147,"Helensburgh",171,6625.84,38.75
116011306,"Doonside - Woodcroft",137,6201.64,45.27
127031601,"Warwick Farm",47,2582.36,54.94
123021443,"Minto - St Andrews",105,1473.33,14.03
211021261,"Donvale - Park Orchards",39,1563.33,40.09
211051276,"Healesville - Yarra Glen",414,18292.79,44.19
210031236,"Coburg North",97,3526.34,36.35
505021086,"Dianella",56,2362.32,42.18
506071147,"South Perth - Kensington",365,16212.53,44.42
119041378,"Kogarah",47,1496.05,31.83
116031314,"Glendenning - Dean Park",276,4708.37,17.06
801061064,"Griffith (ACT)",109,4624.83,42.43
113021262,"Tumut Region",15,348.60,23.24
801051123,"Black Mountain",51,1504.45,29.50
601031013,"Austins Ferry - Granton",30,1045.52,34.85
601021005,"Cambridge",194,7267.48,37.46
601011001,"Bridgewater - Gagebrook",694,307.90,0.44
603021070,"Cygnet",52,1981.26,38.10
601051031,"Sandy Bay",766,29145.51,38.05
401031013,"Toorak Gardens",391,13677.81,34.98
401051017,"Norwood (SA)",429,20161.86,47.00
402021031,"Elizabeth East",178,2573.45,14.46
401051018,"Payneham - Felixstow",70,1942.81,27.75
601021011,"Rokeby",14,826.48,59.03
212051321,"Glen Waverley - East",76,2946.58,38.77
212041460,"Noble Park - West",85,4188.90,49.28
203031052,"Point Lonsdale - Queenscliff",1,52.55,52.55
116011307,"Lalor Park - Kings Langley",57,2219.79,38.94
119021362,"Belmore - Belfield",79,3139.76,39.74
120031396,"Homebush",88,4072.59,46.28
121041416,"Neutral Bay - Kirribilli",318,14614.86,45.96
314031391,"Bray Park",50,2990.67,59.81
305011108,"Kangaroo Point",331,14707.80,44.43
301031020,"Wynnum",95,5490.87,57.80
303011051,"Carindale",59,1703.48,28.87
304031095,"Sherwood",29,1145.58,39.50
303061080,"Sunnybank Hills",50,2071.43,41.43
303021056,"Holland Park",69,3414.74,49.49
206071143,"Fitzroy North",363,14853.93,40.92
209031214,"Research - North Warrandyte",40,1331.62,33.29
208031185,"Carrum - Patterson Lakes",67,3529.33,52.68
212041459,"Noble Park - East",37,1741.64,47.07
122031424,"Beacon Hill - Narraweena",52,2388.07,45.92
206061138,"Toorak",235,11284.71,48.02
208011168,"Beaumaris",81,3321.27,41.00
213051464,"Point Cook - East",103,3575.13,34.71
304031096,"St Lucia",400,14038.63,35.10
801011020,"Macquarie",39,1141.23,29.26
116021562,"Acacia Gardens",7,461.68,65.95
121041414,"Crows Nest - Waverton",321,11357.75,35.38
118011347,"Woollahra",198,9959.16,50.30
115021297,"Dural - Kenthurst - Wisemans Ferry",148,6699.82,45.27
124011450,"Blaxland - Warrimoo - Lapstone",77,1830.09,23.77
