Yloc,Xloc,Count
-33.89839204,151.13811085,148
-33.81216,151.0357,148
-33.8793,151.216,147
-37.80746005,144.96410522,146
-33.90602624,151.18114497,146
-27.34218031,153.07052349,145
-33.85830058,151.2136251,145
-27.6167,152.767,144
-34.93055556,138.60416667,143
-27.45019,153.03253,143
-35.3860699,149.20602,143
-37.81549677,144.96646643,143
-31.94792,115.82361,143
-31.94245,115.86927,143
-33.94146716,151.18642096,143
-27.47127276,153.01849569,142
-37.74318358,145.06612247,142
-32.24693601,115.80612416,142
-34.91475724,138.61085415,141
-27.463752,153.035699,141
-42.89916667,147.2325,141
-37.9193548,145.01680422,141
-33.867611,151.208432,141
-33.8941803,151.1997986,141
-33.73456036,150.96111136,140
-37.8249,144.952,139
-33.8613799,151.2064,139
-33.894755,151.27449589,139
-33.87521,151.25557,139
-37.8105918,144.9725004,138
-38.2167,145.033,138
-33.8709599,151.20723,138
-33.48992,151.34227,138
-37.813864,144.964468,137
-37.81127,144.94645,137
-37.82195199,144.96864183,137
-33.90564,151.1654,137
-33.867222,151.2075,137
-33.90735917,151.22896343,137
-34.92168,138.63054,136
-34.9659966,138.51375818,136
-33.8848,151.226,136
-33.87002538,151.20198527,135
-27.38631195,153.11947076,134
-32,115.767,134
-33.87035199,151.20887945,134
-37.8118,144.968,133
-37.78231008,144.91189351,133
-34.8386803,138.4849548,132
-37.8822,144.978,132
-37.8203162,144.9568065,132
-33.91701029,151.2304759,132
-33.937143,151.165778,132
-27.3855095,153.0306854,131
-37.86743429,144.97630044,131
-31.9744,115.897,131
-31.9973,115.539,131
-33.920426,151.256868,131
-33.8485,151.28461,131
-37.8893,145.058,130
-31.97768,115.81039,130
-33.8667,151.225,130
-27.6833,153.133,129
-27.2333,153.117,129
-37.83223319,144.95683652,129
-37.922,145.036,129
-37.84972222,144.96833333,129
-34.0525481,151.1529164,129
-33.9035283,151.1797045,129
-27.56146,152.95043,128
-27.4645,153.013,128
-37.82503561,144.99258788,128
-37.8061,144.97,128
-34.91776943,138.61050114,127
-27.4849132,152.95916238,127
-33.9833,151.117,127
-34.92304315,138.61135273,126
-27.47678474,153.02800041,126
-33.872139,151.1994324,126
-35.077,138.502,125
-27.51794336,152.99797119,125
-35.28090897,149.14845583,125
-37.82250433,144.95918112,125
-33.8278,151.233,125
-33.426667,151.341667,125
-33.91376,151.26668,125
-34.90777647,138.57395136,124
-27.47979567,153.01238382,124
-37.8114,144.986,124
-31.87667,115.7511,124
-33.87850583,151.19968662,124
-27.4076,153.036,123
-37.8627899,144.90183,123
-33.87947799,151.21528034,123
-33.87949141,151.21555942,123
-37.82570047,144.95275781,122
-32.04877,115.77653,122
-33.75927646,151.28103018,122
-34.94533233,138.58660698,121
-27.3608,153.03286,121
-37.6927299,145.0343475,121
-37.9229,144.667,121
-32.00535327,115.89392903,121
-34.92966299,138.59715981,120
-27.51103634,153.06330255,120
-38.23133,145.05162,120
-27.52522993,153.00799952,119
-27.45233056,153.04170987,119
-31.9232,115.78736,119
-32.02833,115.7483,119
-35.2333,138.533,118
-34.97907,138.51021,118
-27.46906366,153.05422894,118
-38.1,145.183,118
-37.75,145.117,118
-37.83109,144.95941,118
-37.83957,144.99483,118
-31.8455256,115.78443303,118
-33.88853337,151.27167352,118
-33.7544,151.285,118
-33.82699482,151.07803943,117
-27.46374499,153.01354897,116
-37.80187593,145.00093082,116
-33.91505776,151.26113481,116
-27.18110762,153.37195158,115
-37.77426,144.96111,115
-37.81479,144.9025,115
-37.981,145.215,115
-33.92925524,150.88609097,115
-33.87784,151.21391,115
-37.65380088,145.01820895,114
-31.8833,115.967,114
-33.8797,151.216,114
-34.91973393,138.60472353,113
-35.18876935,149.65845088,113
-37.78812443,144.90854365,113
-31.7763002,115.7923964,113
-31.83388244,115.95042345,113
-34.96031,138.62634,112
-37.82093245,144.95820517,112
-31.9429468,115.9730524,112
-31.89623913,115.75670543,112
-33.79874,151.2635699,112
-33.7506,151.275,112
-33.87189641,151.21046884,112
-37.65,145.033,111
-37.71666288,145.12124723,111
-33.89743,151.21058,111
-33.91309275,151.17309809,111
-27.45214259,153.00596915,110
-37.8186,144.9637,110
-37.8038249,144.9773368,110
-37.78433437,144.9519955,110
-37.93472706,145.0372687,110
-37.72401835,144.99776048,110
-33.88249345,151.2012683,110
-34.9911,138.524,109
-34.92046833,138.60386856,109
-27.56700057,152.9540529,109
-37.68299224,145.5317846,109
-32.0833,116,109
-31.9469687,115.84751772,109
-31.9358,115.8414,109
-31.960683,115.895287,109
-32.0756775,115.7523812,109
-34.051,151.156,109
-33.6736086,151.258585,109
-27.4655,153.02619,108
-37.78284889,144.91105486,108
-33.71863512,151.11682539,108
-33.91063271,151.15623735,108
