X1,Y1,X2,Y2,X3,Y3
,,151.3207,-33.5576,,
,,151.3207,-33.5576,,
,,151.3207,-33.5577,,
,,151.3207,-33.5577,,
,,151.3207,-33.5577,,
,,151.3207,-33.5577,,
,,151.3207,-33.5578,,
,,151.3207,-33.5578,,
,,151.3207,-33.5579,,
,,151.3207,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3204,-33.558,,
,,151.3204,-33.5581,,
,,151.3204,-33.5581,,
,,151.3204,-33.5581,,
,,151.3204,-33.5581,,
,,151.3204,-33.5582,,
,,151.3204,-33.5582,,
,,151.3204,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3202,-33.5583,,
,,151.3202,-33.5583,,
,,151.3202,-33.5583,,
,,151.3202,-33.5583,,
,,151.3201,-33.5583,,
,,151.3201,-33.5583,,
,,151.3201,-33.5583,,
,,151.3201,-33.5583,,
,,151.32,-33.5584,,
,,151.32,-33.5584,,
,,151.32,-33.5584,,
,,151.32,-33.5584,,
,,151.3199,-33.5584,,
,,151.3199,-33.5584,,
,,151.3199,-33.5584,,
,,151.3199,-33.5584,,
,,151.3198,-33.5584,,
,,151.3198,-33.5584,,
,,151.3198,-33.5584,,
,,151.3197,-33.5584,,
,,151.3197,-33.5585,,
,,151.3197,-33.5585,,
,,151.3197,-33.5585,,
,,151.3196,-33.5585,,
,,151.3196,-33.5585,,
,,151.3196,-33.5585,,
,,151.3196,-33.5584,,
,,151.3195,-33.5584,,
,,151.3195,-33.5584,,
,,151.3195,-33.5584,,
,,151.3194,-33.5584,,
,,151.3194,-33.5584,,
,,151.3194,-33.5584,,
,,151.3194,-33.5585,,
,,151.3193,-33.5585,,
,,151.3193,-33.5585,,
,,151.3193,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5586,,
,,151.319,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3188,-33.5586,,
,,151.3188,-33.5586,,
,,151.3188,-33.5586,,
,,151.3187,-33.5586,,
,,151.3187,-33.5586,,
,,151.3187,-33.5586,,
,,151.3186,-33.5586,,
,,151.3186,-33.5586,,
,,151.3185,-33.5586,,
,,151.3185,-33.5585,,
,,151.3185,-33.5585,,
,,151.3184,-33.5585,,
,,151.3184,-33.5585,,
,,151.3184,-33.5585,,
,,151.3183,-33.5585,,
,,151.3183,-33.5585,,
,,151.3182,-33.5585,,
,,151.3182,-33.5585,,
,,151.3182,-33.5585,,
,,151.3181,-33.5585,,
,,151.3181,-33.5585,,
,,151.3181,-33.5586,,
,,151.318,-33.5586,,
,,151.318,-33.5586,,
,,151.318,-33.5585,,
,,151.318,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3178,-33.5585,,
,,151.3178,-33.5585,,
,,151.3178,-33.5585,,
,,151.3177,-33.5585,,
,,151.3177,-33.5585,,
,,151.3176,-33.5584,,
,,151.3176,-33.5584,,
,,151.3176,-33.5584,,
,,151.3176,-33.5584,,
,,151.3175,-33.5584,,
,,151.3175,-33.5584,,
,,151.3174,-33.5584,,
,,151.3174,-33.5584,,
,,151.3174,-33.5584,,
,,151.3174,-33.5584,,
,,151.3173,-33.5583,,
,,151.3173,-33.5583,,
,,151.3172,-33.5583,,
,,151.3172,-33.5583,,
,,151.3171,-33.5583,,
,,151.3171,-33.5583,,
,,151.317,-33.5583,,
,,151.317,-33.5583,,
,,151.317,-33.5582,,
